rep,t,S,I,R
75,25.598876867829023,567,3,430
75,25.931329814164467,567,3,430
75,26.263782760499907,567,2,431
75,26.59623570683535,567,2,431
75,26.92868865317079,567,2,431
75,27.26114159950623,567,1,432
75,27.593594545841675,567,1,432
75,27.926047492177116,567,1,432
75,28.25850043851256,566,2,432
75,28.590953384848,566,2,432
75,28.923406331183443,566,2,432
75,29.255859277518883,566,2,432
75,29.588312223854327,566,2,432
75,29.920765170189767,566,2,432
75,30.25321811652521,566,1,433
75,30.58567106286065,566,1,433
75,30.918124009196095,566,1,433
75,31.250576955531535,566,0,434
75,31.58302990186698,566,0,434
75,31.91548284820242,566,0,434
75,32.24793579453786,566,0,434
75,32.5803887408733,566,0,434
75,32.91284168720875,566,0,434
75,33.245294633544184,566,0,434
75,33.57774757987963,566,0,434
75,33.91020052621507,566,0,434
75,34.242653472550515,566,0,434
75,34.57510641888595,566,0,434
75,34.907559365221395,566,0,434
75,35.24001231155684,566,0,434
75,35.57246525789228,566,0,434
75,35.90491820422772,566,0,434
75,36.23737115056316,566,0,434
75,36.56982409689861,566,0,434
75,36.90227704323405,566,0,434
75,37.23472998956949,566,0,434
75,37.56718293590493,566,0,434
75,37.899635882240375,566,0,434
75,38.23208882857581,566,0,434
75,38.564541774911255,566,0,434
75,38.8969947212467,566,0,434
75,39.22944766758214,566,0,434
75,39.56190061391758,566,0,434
75,39.89435356025302,566,0,434
75,40.22680650658847,566,0,434
75,40.55925945292391,566,0,434
75,40.89171239925935,566,0,434
75,41.22416534559479,566,0,434
75,41.556618291930235,566,0,434
75,41.88907123826568,566,0,434
75,42.221524184601115,566,0,434
75,42.55397713093656,566,0,434
75,42.886430077272,566,0,434
75,43.21888302360744,566,0,434
75,43.55133596994288,566,0,434
75,43.88378891627833,566,0,434
75,44.21624186261377,566,0,434
75,44.54869480894921,566,0,434
75,44.88114775528465,566,0,434
75,45.213600701620095,566,0,434
75,45.54605364795554,566,0,434
75,45.878506594290975,566,0,434
75,46.21095954062642,566,0,434
75,46.54341248696186,566,0,434
75,46.87586543329731,566,0,434
75,47.20831837963274,566,0,434
75,47.54077132596819,566,0,434
75,47.87322427230363,566,0,434
75,48.20567721863907,566,0,434
75,48.53813016497451,566,0,434
75,48.870583111309955,566,0,434
75,49.2030360576454,566,0,434
75,49.535489003980835,566,0,434
75,49.86794195031628,566,0,434
75,50.20039489665172,566,0,434
75,50.53284784298717,566,0,434
75,50.8653007893226,566,0,434
75,51.19775373565805,566,0,434
75,51.53020668199349,566,0,434
75,51.862659628328935,566,0,434
75,52.19511257466437,566,0,434
75,52.527565520999815,566,0,434
75,52.86001846733526,566,0,434
75,53.1924714136707,566,0,434
75,53.52492436000614,566,0,434
75,53.85737730634158,566,0,434
75,54.18983025267703,566,0,434
75,54.52228319901246,566,0,434
75,54.85473614534791,566,0,434
75,55.18718909168335,566,0,434
75,55.519642038018794,566,0,434
75,55.85209498435423,566,0,434
75,56.184547930689675,566,0,434
75,56.51700087702512,566,0,434
75,56.84945382336056,566,0,434
75,57.181906769696,566,0,434
75,57.51435971603144,566,0,434
75,57.84681266236689,566,0,434
75,58.17926560870233,566,0,434
75,58.51171855503777,566,0,434
75,58.84417150137321,566,0,434
75,59.176624447708654,566,0,434
75,59.50907739404409,566,0,434
75,59.841530340379535,566,0,434
