rep,t,S,I,R
98,40.800000000000004,1116,349,8535
98,41.0,1112,340,8548
98,41.2,1109,328,8563
98,41.400000000000006,1106,317,8577
98,41.6,1103,310,8587
98,41.800000000000004,1098,302,8600
98,42.0,1093,292,8615
98,42.2,1088,278,8634
98,42.400000000000006,1087,271,8642
98,42.6,1085,262,8653
98,42.800000000000004,1083,249,8668
98,43.0,1080,246,8674
98,43.2,1076,242,8682
98,43.400000000000006,1076,236,8688
98,43.6,1074,230,8696
98,43.800000000000004,1071,221,8708
98,44.0,1068,216,8716
98,44.2,1064,206,8730
98,44.400000000000006,1063,200,8737
98,44.6,1061,195,8744
98,44.800000000000004,1060,189,8751
98,45.0,1059,185,8756
98,45.2,1058,180,8762
98,45.400000000000006,1057,172,8771
98,45.6,1057,169,8774
98,45.800000000000004,1056,165,8779
98,46.0,1055,158,8787
98,46.2,1053,155,8792
98,46.400000000000006,1051,154,8795
98,46.6,1051,146,8803
98,46.800000000000004,1051,137,8812
98,47.0,1049,136,8815
98,47.2,1046,135,8819
98,47.400000000000006,1045,135,8820
98,47.6,1042,135,8823
98,47.800000000000004,1041,132,8827
98,48.0,1040,127,8833
98,48.2,1040,117,8843
98,48.400000000000006,1038,115,8847
98,48.6,1035,114,8851
98,48.800000000000004,1034,112,8854
98,49.0,1031,111,8858
98,49.2,1027,110,8863
98,49.400000000000006,1027,106,8867
98,49.6,1026,104,8870
98,49.800000000000004,1026,100,8874
98,50.0,1025,96,8879
98,50.2,1024,93,8883
98,50.400000000000006,1024,90,8886
98,50.6,1023,86,8891
98,50.800000000000004,1022,84,8894
98,51.0,1021,82,8897
98,51.2,1021,79,8900
98,51.400000000000006,1019,81,8900
98,51.6,1018,78,8904
98,51.800000000000004,1018,74,8908
98,52.0,1018,71,8911
98,52.2,1018,67,8915
98,52.400000000000006,1018,61,8921
98,52.6,1018,59,8923
98,52.800000000000004,1018,56,8926
98,53.0,1018,53,8929
98,53.2,1017,51,8932
98,53.400000000000006,1016,49,8935
98,53.6,1015,49,8936
98,53.800000000000004,1015,46,8939
98,54.0,1015,43,8942
98,54.2,1014,43,8943
98,54.400000000000006,1014,40,8946
98,54.6,1014,39,8947
98,54.800000000000004,1014,38,8948
98,55.0,1014,38,8948
98,55.2,1014,37,8949
98,55.400000000000006,1014,35,8951
